# Office for National Statistics Top 100 Baby Names Historical Data.
# Open Government License.
# From https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/livebirths/datasets/babynamesenglandandwalestop100babynameshistoricaldata
contents,,,,,,,,,,
,Top 100 boys' baby names,,,,,,,,,
,,,,,,,,,,
RANK,1904,1914,1924,1934,1944,1954,1964,1974,1984,1994
,,,,,,,,,,
1,WILLIAM,JOHN,JOHN,JOHN,JOHN,DAVID,DAVID,PAUL,CHRISTOPHER,THOMAS
2,JOHN,WILLIAM,WILLIAM,PETER,DAVID,JOHN,PAUL,MARK,JAMES,JAMES
3,GEORGE,GEORGE,GEORGE,WILLIAM,MICHAEL,STEPHEN,ANDREW,DAVID,DAVID,JACK
4,THOMAS,THOMAS,JAMES,BRIAN,PETER,MICHAEL,MARK,ANDREW,DANIEL,DANIEL
5,ARTHUR,JAMES,THOMAS,DAVID,ROBERT,PETER,JOHN,RICHARD,MICHAEL,MATTHEW
6,JAMES,ARTHUR,RONALD,JAMES,ANTHONY,ROBERT,MICHAEL,CHRISTOPHER,MATTHEW,RYAN
7,CHARLES,FREDERICK,KENNETH,MICHAEL,BRIAN,PAUL,STEPHEN,JAMES,ANDREW,JOSHUA
8,FREDERICK,ALBERT,ROBERT,RONALD,ALAN,ALAN,IAN,SIMON,RICHARD,LUKE
9,ALBERT,CHARLES,ARTHUR,KENNETH,WILLIAM,CHRISTOPHER,ROBERT,MICHAEL,PAUL,SAMUEL
10,ERNEST,ROBERT,FREDERICK,GEORGE,JAMES,RICHARD,RICHARD,MATTHEW,MARK,JORDAN
11,ALFRED,EDWARD,PETER,ROBERT,RICHARD,ANTHONY,CHRISTOPHER,STEPHEN,THOMAS,ADAM
12,EDWARD,JOSEPH,EDWARD,THOMAS,KENNETH,ANDREW,PETER,LEE,ADAM,MICHAEL
13,JOSEPH,ERNEST,ALBERT,ALAN,ROGER,IAN,SIMON,JOHN,ROBERT,ALEXANDER
14,HAROLD,ALFRED,CHARLES,DEREK,KEITH,JAMES,ANTHONY,ROBERT,JOHN,CHRISTOPHER
15,ROBERT,FRANK,LESLIE,RAYMOND,COLIN,WILLIAM,KEVIN,DARREN,LEE,BENJAMIN
16,FRANK,HENRY,JOSEPH,ANTHONY,CHRISTOPHER,PHILIP,GARY,DANIEL,BENJAMIN,JOSEPH
17,HENRY,LESLIE,STANLEY,ROY,RAYMOND,BRIAN,STEVEN,STEVEN,STEVEN,LIAM
18,HARRY,HAROLD,ERIC,DONALD,TERENCE,KEITH,MARTIN,JASON,JONATHAN,JAKE
19,WALTER,HARRY,FRANK,DENNIS,THOMAS,GRAHAM,JAMES,NICHOLAS,CRAIG,WILLIAM
20,REGINALD,LEONARD,DENNIS,EDWARD,BARRY,KEVIN,PHILIP,JONATHAN,STEPHEN,ANDREW
21,HERBERT,RONALD,DAVID,GORDON,GEORGE,MARTIN,ALAN,IAN,SIMON,GEORGE
22,LEONARD,STANLEY,NORMAN,TERENCE,GRAHAM,COLIN,NEIL,NEIL,NICHOLAS,LEWIS
23,STANLEY,WALTER,ERNEST,JOSEPH,IAN,STEVEN,NIGEL,PETER,PETER,OLIVER
24,LESLIE,REGINALD,HENRY,FREDERICK,MALCOLM,THOMAS,TIMOTHY,STUART,ANTHONY,DAVID
25,RICHARD,HERBERT,LEONARD,ARTHUR,GEOFFREY,KENNETH,COLIN,ANTHONY,ALEXANDER,ROBERT
26,CYRIL,RICHARD,HAROLD,COLIN,RONALD,RAYMOND,GRAHAM,MARTIN,GARY,JAMIE
27,SIDNEY,ERIC,ALFRED,ERIC,DEREK,NIGEL,JONATHAN,KEVIN,IAN,NATHAN
28,FRANCIS,NORMAN,RAYMOND,RICHARD,PAUL,GEOFFREY,NICHOLAS,CRAIG,RYAN,CONNOR
29,PERCY,CYRIL,DONALD,CHARLES,EDWARD,TERENCE,WILLIAM,PHILIP,LUKE,JONATHAN
30,DAVID,JACK,HARRY,NORMAN,ROY,TREVOR,ADRIAN,GARY,JAMIE,HARRY
31,WILFRED,SIDNEY,REGINALD,LESLIE,PATRICK,MALCOLM,BRIAN,SCOTT,STUART,CALLUM
32,SAMUEL,DAVID,RICHARD,PATRICK,PHILIP,MARK,STUART,WAYNE,PHILIP,AARON
33,NORMAN,KENNETH,JACK,GEOFFREY,TREVOR,BARRY,KEITH,TIMOTHY,DARREN,ASHLEY
34,CECIL,FRANCIS,WALTER,FRANK,DENNIS,GARY,THOMAS,BENJAMIN,WILLIAM,BRADLEY
35,ERIC,WILFRED,CYRIL,ALBERT,LESLIE,GEORGE,PATRICK,ADAM,GARETH,JACOB
36,SYDNEY,SAMUEL,GEOFFREY,KEITH,JOSEPH,NICHOLAS,SEAN,ALAN,MARTIN,KIERAN
37,HORACE,SYDNEY,ALAN,LEONARD,BERNARD,DEREK,CARL,DEAN,KEVIN,SCOTT
38,FRED,PATRICK,DOUGLAS,BERNARD,CHARLES,CHARLES,TREVOR,ADRIAN,SCOTT,SAM
39,JACK,MICHAEL,GORDON,STANLEY,ERIC,PATRICK,WAYNE,CARL,DEAN,JOHN
40,EDWIN,BERNARD,MICHAEL,GERALD,STEPHEN,TIMOTHY,SHAUN,THOMAS,JOSEPH,BEN
41,RONALD,DONALD,ROY,REGINALD,MARTIN,ROGER,KENNETH,WILLIAM,JASON,MOHAMMED
42,ALEXANDER,PETER,BERNARD,FRANCIS,FREDERICK,LESLIE,BARRY,GRAHAM,NEIL,NICHOLAS
43,CLIFFORD,HORACE,FRANCIS,MAURICE,NORMAN,RONALD,DEREK,ALEXANDER,SAMUEL,KYLE
44,PATRICK,PERCY,PATRICK,DOUGLAS,GORDON,CLIVE,DEAN,COLIN,CARL,CHARLES
45,BERNARD,CLIFFORD,SIDNEY,HENRY,ANDREW,EDWARD,RAYMOND,JAMIE,BEN,MARK
46,MICHAEL,CECIL,HERBERT,MALCOLM,FRANK,NEIL,ANTONY,GARETH,SEAN,SEAN
47,VICTOR,FRED,MAURICE,ERNEST,ARTHUR,JOSEPH,JEREMY,JUSTIN,TIMOTHY,EDWARD
48,PHILIP,MAURICE,CLIFFORD,HAROLD,RODNEY,JEFFREY,JOSEPH,BARRY,OLIVER,STEPHEN
49,EDGAR,VICTOR,ANTHONY,ALFRED,GERALD,STUART,EDWARD,CHRISTIAN,ASHLEY,RICHARD
50,MAURICE,EDWIN,VICTOR,GRAHAM,CLIVE,ROY,LEE,KARL,WAYNE,ALEX
51,DONALD,RAYMOND,GERALD,HARRY,JEFFREY,GORDON,TERENCE,BRIAN,EDWARD,PETER
52,KENNETH,PHILIP,DEREK,JACK,DOUGLAS,JONATHAN,MATTHEW,EDWARD,SHAUN,DOMINIC
53,BENJAMIN,ALEXANDER,PHILIP,BARRY,DONALD,SIMON,DANIEL,KEITH,AARON,JOE
54,DOUGLAS,GORDON,ALEXANDER,WALTER,FRANCIS,ADRIAN,GEORGE,MARC,MOHAMMED,REECE
55,HUGH,GEOFFREY,WILFRED,IAN,STUART,DENNIS,RUSSELL,NIGEL,GAVIN,LEE
56,LAWRENCE,DENNIS,EDWIN,PHILIP,VICTOR,MOHAMMED,CHARLES,SEAN,LIAM,RHYS
57,DANIEL,DOUGLAS,SAMUEL,CHRISTOPHER,ROBIN,PHILLIP,JEFFREY,SHAUN,NATHAN,STEVEN
58,GEOFFREY,ALAN,DENIS,BRYAN,ALLAN,ALLAN,CLIVE,NATHAN,ALAN,ANTHONY
59,PETER,DANIEL,SYDNEY,TREVOR,LEONARD,ROBIN,PHILLIP,JOSEPH,GRAHAM,CHARLIE
60,ARCHIBALD,RALPH,CECIL,CLIFFORD,STANLEY,GERALD,CRAIG,RUSSELL,ROSS,PAUL
61,CHRISTOPHER,HUGH,COLIN,CYRIL,ALBERT,FRANCIS,ROGER,MOHAMMED,KARL,CRAIG
62,ALAN,LAWRENCE,LAWRENCE,VICTOR,MAURICE,ERIC,JULIAN,JEREMY,MARC,JASON
63,TOM,BENJAMIN,FRED,PAUL,HENRY,BERNARD,GEOFFREY,PHILLIP,ADRIAN,DALE
64,GILBERT,ROY,RALPH,DENIS,HOWARD,DONALD,KARL,DAMIAN,PHILLIP,ROSS
65,HUBERT,EDGAR,DESMOND,ALLAN,HARRY,FRANK,MALCOLM,SHANE,PATRICK,CAMERON
66,RALPH,CHRISTOPHER,BRIAN,ALEXANDER,ALEXANDER,NORMAN,DARREN,DUNCAN,LEWIS,LOUIS
67,STEPHEN,ANDREW,PERCY,ROGER,KEVIN,FREDERICK,TONY,PATRICK,COLIN,DEAN
68,GERALD,STEPHEN,TERENCE,MOHAMMED,CLIFFORD,HOWARD,ADAM,JULIAN,RUSSELL,CONOR
69,BERTIE,DENIS,CHRISTOPHER,SIDNEY,NIGEL,DOUGLAS,ROBIN,DOMINIC,CHARLES,SHANE
70,LEWIS,GERALD,HORACE,CLIVE,BARRIE,JEREMY,GARRY,CHARLES,SHANE,ELLIOT
71,ANDREW,HUBERT,HUGH,DANIEL,REGINALD,ALEXANDER,ROY,MARCUS,GEORGE,PATRICK
72,PERCIVAL,GILBERT,DANIEL,LAWRENCE,ERNEST,ARTHUR,VINCENT,GAVIN,SAM,MAX
73,RAYMOND,IVOR,ANDREW,HERBERT,ALFRED,DANIEL,MOHAMMED,TONY,MATHEW,SHAUN
74,BERTRAM,TOM,DERRICK,EDWIN,ADRIAN,ABDUL,GORDON,ANTONY,JACK,HENRY
75,ARNOLD,ARNOLD,ALLAN,SAMUEL,HAROLD,MARTYN,DUNCAN,ROBIN,RICKY,SIMON
76,EDMUND,ANTHONY,STEPHEN,RALPH,NICHOLAS,LEONARD,LESLIE,TREVOR,DALE,TIMOTHY
77,CLARENCE,BERTRAM,IVOR,DERRICK,TIMOTHY,LAWRENCE,ALEXANDER,GLEN,TONY,MITCHELL
78,LOUIS,LEWIS,VINCENT,ABDUL,MELVYN,GERARD,GREGORY,IAIN,JOSHUA,BILLY
79,IVOR,LOUIS,TREVOR,ANDREW,BRYAN,TONY,GARETH,RYAN,ALEX,PHILIP
80,ROLAND,EDMUND,BASIL,MARTIN,NEIL,BRYAN,RONALD,MARTYN,DOMINIC,JOEL
81,MARK,LIONEL,ARNOLD,HUGH,JACK,CLIFFORD,DOUGLAS,GREGORY,BARRY,JOSH
82,GORDON,COLIN,ROLAND,ROBIN,DANIEL,GARRY,FRANCIS,SAMUEL,LEON,MARCUS
83,CLAUDE,ROLAND,BENJAMIN,NEVILLE,LAWRENCE,HENRY,STEWART,GEORGE,MOHAMMAD,DYLAN
84,MATTHEW,ALEC,EDGAR,STEPHEN,HUGH,MOHAMMAD,GRAEME,OLIVER,TERRY,CARL
85,MARTIN,MATTHEW,IAN,VINCENT,DENIS,GARETH,GUY,RAYMOND,GREGORY,ELLIOTT
